filename,sentences,executive_summary_items,financial_highlights,risk_items,performance_items,management_discussion_items
annual_report_novatech_fy2026.txt,15,3,4,3,4,4
balance_sheet_f.txt,880,3,0,0,0,0
balance_sheet_novatech_fy2026.txt,5,1,4,0,0,0
bank_statement.txt,1,1,0,0,0,0
bank_statement_novatech_may2026.txt,1,1,1,0,0,0
cash_flow_novatech_fy2026.txt,4,1,2,0,0,0
income_statement.txt,4,1,0,0,4,0
income_statement_novatech_fy2026.txt,2,1,2,0,2,0
invoice_brightedge_inv_2026_00457.txt,1,1,1,0,0,0
invoice_f.txt,1,1,0,0,0,0
scanned_invoice_brightedge.txt,10,3,3,0,0,0
