document_id,filename,document_type,scanned_copy,file_type,pages_or_rows,size_kb,source,collected_on
DOC001,annual_report.csv,Annual Report,No,CSV,1059.0,65.4,Internship mentor / project dataset,2026-08-26
DOC002,annual_report_novatech_fy2026.pdf,Annual Report,No,PDF,1.0,2.3,Internship mentor / project dataset,2026-08-26
DOC003,balance_sheet_f.pdf,Balance Sheet,No,PDF,20.0,134.9,Internship mentor / project dataset,2026-08-26
DOC004,balance_sheet_novatech_fy2026.pdf,Balance Sheet,No,PDF,1.0,2.2,Internship mentor / project dataset,2026-08-26
DOC005,bank_statement.pdf,Bank Statement,No,PDF,3.0,86.5,Internship mentor / project dataset,2026-08-26
DOC006,bank_statement_novatech_may2026.pdf,Bank Statement,No,PDF,1.0,2.0,Internship mentor / project dataset,2026-08-26
DOC007,cash_flow_novatech_fy2026.pdf,Cash Flow Statement,No,PDF,1.0,2.1,Internship mentor / project dataset,2026-08-26
DOC008,income_statement.pdf,Income Statement,No,PDF,79.0,98.7,Internship mentor / project dataset,2026-08-26
DOC009,income_statement_novatech_fy2026.pdf,Income Statement,No,PDF,1.0,2.0,Internship mentor / project dataset,2026-08-26
DOC010,invoice_brightedge_inv_2026_00457.pdf,Invoice,No,PDF,1.0,2.0,Internship mentor / project dataset,2026-08-26
DOC011,invoice_f.pdf,Invoice,No,PDF,30.0,226.4,Internship mentor / project dataset,2026-08-26
DOC012,scanned_invoice_brightedge.pdf,Invoice,Yes,PDF,1.0,134.9,Internship mentor / project dataset,2026-08-26
DOC013,000100064801.pdf,Unclassified,No,PDF,,42.8,Uploaded via API,2026-08-31
DOC014,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC015,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC016,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC017,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC018,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC019,000100097042.pdf,Unclassified,No,PDF,,42.1,Uploaded via API,2026-08-31
DOC020,000100097042.pdf,Unclassified,No,PDF,N/A,42.1,Uploaded via API,2026-08-31
