document,metric,value,year,source_line
annual_report_novatech_fy2026.txt,Revenue,Rs. 850 crore,FY2026,"generated revenue of Rs. 850 crore, up 18% year-on-year, driven by"
annual_report_novatech_fy2026.txt,Net Income,Rs. 105 crore,FY2026,- Net profit grew 12% to Rs. 105 crore
balance_sheet_novatech_fy2026.txt,Assets,"Rs. 220,50,00,000",2026,"Total Assets ........................... Rs. 220,50,00,000"
balance_sheet_novatech_fy2026.txt,Debt,"Rs. 12,00,00,000",2026,"Short-term Borrowings .............. Rs. 12,00,00,000"
balance_sheet_novatech_fy2026.txt,Debt,"Rs. 55,00,00,000",2026,"Long-term Debt ...................... Rs. 55,00,00,000"
balance_sheet_novatech_fy2026.txt,Liabilities,"Rs. 86,00,00,000",2026,"Total Liabilities ....................... Rs. 86,00,00,000"
balance_sheet_novatech_fy2026.txt,Equity,"Rs. 134,50,00,000",2026,"Total Equity ............................ Rs. 134,50,00,000"
cash_flow_novatech_fy2026.txt,Net Income,"Rs. 105,00,00,000",FY2026,"Net Income ........................... Rs. 105,00,00,000"
cash_flow_novatech_fy2026.txt,Cash Flow,"Rs. 113,00,00,000",FY2026,"Net Cash from Operating Activities ..... Rs. 113,00,00,000"
cash_flow_novatech_fy2026.txt,Debt,"Rs. 15,00,00,000",FY2026,"Proceeds from Long-term Debt .......... Rs. 15,00,00,000"
cash_flow_novatech_fy2026.txt,Cash Flow,"Rs. 68,00,00,000",FY2026,"Net Increase in Cash ..................... Rs. 68,00,00,000"
income_statement_novatech_fy2026.txt,Revenue,"Rs. 850,00,00,000",FY2026,"Revenue ................................. Rs. 850,00,00,000"
income_statement_novatech_fy2026.txt,Gross Profit,"Rs. 340,00,00,000",FY2026,"Gross Profit ............................. Rs. 340,00,00,000"
income_statement_novatech_fy2026.txt,Operating Profit,"Rs. 145,00,00,000",FY2026,"Operating Profit .......................... Rs. 145,00,00,000"
income_statement_novatech_fy2026.txt,Net Income,"Rs. 105,00,00,000",FY2026,"Net Income ................................. Rs. 105,00,00,000"
income_statement_novatech_fy2026.txt,EPS,Rs. 21.00,FY2026,Earnings Per Share (EPS) ................... Rs. 21.00
